bank,year,group,keyword,count,rel_freq,status,colname
CIMB,2017,FTII,distributed ledger,0,0.0,pypdf,FTII__distributed ledger
CIMB,2017,FTII,face recognition,0,0.0,pypdf,FTII__face recognition
CIMB,2017,FTII,fingerprint recognition,0,0.0,pypdf,FTII__fingerprint recognition
CIMB,2017,FTII,voice recognition,0,0.0,pypdf,FTII__voice recognition
CIMB,2017,FTOI,anti-fraud,0,0.0,pypdf,FTOI__anti-fraud
CIMB,2017,FTOI,bank app,0,0.0,pypdf,FTOI__bank app
CIMB,2017,FTOI,credit evaluation,0,0.0,pypdf,FTOI__credit evaluation
CIMB,2017,FTOI,customer portrait,0,0.0,pypdf,FTOI__customer portrait
CIMB,2017,FTOI,digital wallet,0,0.0,pypdf,FTOI__digital wallet
CIMB,2017,FTOI,inclusive credit,0,0.0,pypdf,FTOI__inclusive credit
CIMB,2017,FTOI,internet banking,0,0.0,pypdf,FTOI__internet banking
CIMB,2017,FTOI,lending platform,0,0.0,pypdf,FTOI__lending platform
CIMB,2017,FTOI,mobile banking,5,4.672547846889952e-05,pypdf,FTOI__mobile banking
CIMB,2017,FTOI,mobile payment,0,0.0,pypdf,FTOI__mobile payment
CIMB,2017,FTOI,online banking,3,2.8035287081339714e-05,pypdf,FTOI__online banking
CIMB,2017,FTOI,online finance,0,0.0,pypdf,FTOI__online finance
CIMB,2017,FTOI,online loan,0,0.0,pypdf,FTOI__online loan
CIMB,2017,FTOI,online payment,0,0.0,pypdf,FTOI__online payment
CIMB,2017,FTOI,predictive model,0,0.0,pypdf,FTOI__predictive model
CIMB,2017,FTOI,qr code payment,0,0.0,pypdf,FTOI__qr code payment
CIMB,2018,FTII,ai,9,8.78829009169116e-05,pypdf,FTII__ai
CIMB,2018,FTII,alliance chain,0,0.0,pypdf,FTII__alliance chain
CIMB,2018,FTII,artificial intelligence,6,5.85886006112744e-05,pypdf,FTII__artificial intelligence
CIMB,2018,FTII,asymmetric encryption,0,0.0,pypdf,FTII__asymmetric encryption
CIMB,2018,FTII,big data,5,4.8823833842728667e-05,pypdf,FTII__big data
CIMB,2018,FTII,blockchain,10,9.764766768545733e-05,pypdf,FTII__blockchain
CIMB,2018,FTII,cloud architecture,0,0.0,pypdf,FTII__cloud architecture
CIMB,2018,FTII,cloud computing,0,0.0,pypdf,FTII__cloud computing
CIMB,2018,FTII,cloud platform,0,0.0,pypdf,FTII__cloud platform
CIMB,2018,FTII,cloud service,0,0.0,pypdf,FTII__cloud service
CIMB,2018,FTII,data flow,0,0.0,pypdf,FTII__data flow
CIMB,2018,FTII,data mining,1,9.764766768545733e-06,pypdf,FTII__data mining
CIMB,2018,FTII,data visualization,0,0.0,pypdf,FTII__data visualization
CIMB,2018,FTII,distributed ledger,0,0.0,pypdf,FTII__distributed ledger
CIMB,2018,FTII,face recognition,0,0.0,pypdf,FTII__face recognition
CIMB,2018,FTII,fingerprint recognition,0,0.0,pypdf,FTII__fingerprint recognition
CIMB,2018,FTII,voice recognition,0,0.0,pypdf,FTII__voice recognition
CIMB,2018,FTOI,anti-fraud,0,0.0,pypdf,FTOI__anti-fraud
CIMB,2018,FTOI,bank app,0,0.0,pypdf,FTOI__bank app
CIMB,2018,FTOI,credit evaluation,0,0.0,pypdf,FTOI__credit evaluation
